# ELENCOS REAIS — fonte enviada pelo dono do jogo em 23/09/2026.
#
# Formato de cada linha:  Nome | Posição | dd/mm/aaaa (idade) | Nacionalidades | Valor
# Linha que começa com "# CLUBE:" abre o elenco de um clube.
#
# O clube entre parênteses no nome do jogador é o clube DE ORIGEM de quem está
# emprestado — o jogador conta pro elenco do bloco, não pro clube do parêntese.
#
# Este arquivo é a fonte; games/core/fut_importar.php vira elenco do jogo.

# CLUBE: Flamengo
João Pedro Tchoca | Zagueiro | 31/12/2003 (22) | Brasil | € 4.00 mi.
André Ramalho | Zagueiro | 16/02/1992 (34) | Brasil, Itália | € 800 mil
Gustavo Henrique | Zagueiro | 24/03/1993 (33) | Brasil | € 700 mil
Gabriel Paulista | Zagueiro | 26/11/1990 (35) | Brasil, Espanha | € 500 mil
Renato Santos | Zagueiro | 11/10/2004 (21) | Brasil | -
Matheus Bidu | Lateral Esq. | 04/05/1999 (27) | Brasil | € 7.00 mi.
Hugo | Lateral Esq. | 29/08/1997 (29) | Brasil | € 700 mil
Fabrizio Angileri | Lateral Esq. | 15/03/1994 (32) | Argentina, Itália | € 400 mil
Matheuzinho | Lateral Dir. | 08/09/2000 (26) | Brasil | € 8.00 mi.
Pedro Milans | Lateral Dir. | 24/03/2002 (24) | Uruguai, Itália | € 1.50 mi.
Léo Mana (Criciúma EC) | Lateral Dir. | 06/04/2004 (22) | Brasil | € 500 mil
Raniele | Volante | 31/12/1996 (29) | Brasil | € 4.00 mi.
Allan (CR Flamengo) | Volante | 03/03/1997 (29) | Brasil | € 2.50 mi.
Charles | Volante | 19/06/1996 (30) | Brasil | € 900 mil
Breno Bidon | Meia Central | 20/02/2005 (21) | Brasil, Itália | € 22.00 mi.
André | Meia Central | 20/06/2006 (20) | Brasil | € 16.00 mi.
Matheus Pereira (Fortaleza EC) | Meia Central | 25/02/1998 (28) | Brasil | € 2.50 mi.
Alex Santana | Meia Central | 13/05/1995 (31) | Brasil, Bulgária | € 1.00 mi.
André Carrillo | Meia Central | 14/06/1991 (35) | Perú, Portugal | € 800 mil
Bahia | Meia Central | 02/01/2006 (20) | Brasil | -
Rodrigo Garro | Meia Ofensivo | 04/01/1998 (28) | Argentina, Itália | € 12.00 mi.
Jesse Lingard | Meia Ofensivo | 15/12/1992 (33) | Inglaterra, São Vicente e Granadinas | € 2.00 mi.
Zakaria Labyad | Meia Ofensivo | 09/03/1993 (33) | Marrocos, Holanda | € 400 mil
Kayke | Ponta Esquerda | 28/04/2004 (22) | Brasil | € 1.50 mi.
Vitinho | Ponta Esquerda | 09/10/1993 (32) | Brasil | € 800 mil
Kaio César (Al-Hilal SFC) | Ponta Direita | 15/02/2004 (22) | Brasil | € 4.00 mi.
Dieguinho | Ponta Direita | 16/09/2007 (19) | Brasil | € 4.00 mi.
Yuri Alberto | Centroavante | 18/03/2001 (25) | Brasil, Itália | € 23.00 mi.
Memphis Depay | Centroavante | 13/02/1994 (32) | Holanda, Gana | € 7.00 mi.
Gui Negão | Centroavante | 06/02/2007 (19) | Brasil | € 7.00 mi.
Pedro Raul | Centroavante | 05/11/1996 (29) | Brasil | € 2.50 mi.

# CLUBE: Vasco da Gama
Léo Jardim | Goleiro | 20/03/1995 (31) | Brasil | € 7.00 mi.
Daniel Fuzato | Goleiro | 04/07/1997 (29) | Brasil | € 900 mil
Pablo | Goleiro | 11/02/2003 (23) | Brasil | € 50 mil
Robert Renan | Zagueiro | 11/10/2003 (22) | Brasil | € 10.00 mi.
Carlos Cuesta | Zagueiro | 09/03/1999 (27) | Colômbia | € 8.00 mi.
Gabriel Pereira | Zagueiro | 07/05/2000 (26) | Brasil | € 6.00 mi.
Alan Saldivia | Zagueiro | 06/04/2002 (24) | Uruguai | € 1.20 mi.
Lucas Freitas | Zagueiro | 20/01/2001 (25) | Brasil | € 1.00 mi.
