"RANKING — Títulos, Vices e Aparições nas Finals",,,
,,,
Time,Títulos,Vices,Total de Finais
Anaheim Nu-Metalheads,1,0,1
Boston Night Riders,0,1,1
Buffalo Berserkers,0,2,2
Calgary Mustang Riders,1,1,2
Chicago Rail Foxes,0,2,2
Colorado Wildcats,3,2,5
Columbus Sun Warriors,0,1,1
Honolulu Tides,1,0,1
Memphis River Rougarou,1,1,2
Nashville Steves,0,1,1
New York Hustles,1,0,1
Philadelphia Cheeseheads,2,0,2
Washburn White Walkers,1,0,1
